order_item_id,bill_id,restaurant_location,menu_item_id,menu_category,quantity_ordered,unit_selling_price,item_subtotal_amount,preparation_time_minutes,item_notes,beverage_temperature
OI1,B1612,Florence,M20,PASTA,1,723,361,25,,
OI2,B2070,milan,M38,Pizza ,3,666,306,36,,Cold
OI3,B103,MILAN ,M40,Pasta,3,611,466,0,,Cold
OI4,B1658,MILAN ,M12,PASTA,1,637,885,0,,
OI5,B2152,MILAN ,M4,Pizza ,1,692,1251,88,Extra cheese,Cold
OI6,B2027,MILAN ,M43,PASTA,3,395,1470,0,,
OI7,B3300,ROME,M7,pizza,2,483,748,115,Extra cheese,
OI8,B2760,ROME,M15,pizza,2,782,514,38,,
OI9,B2477,Milan,M2,Pizza ,2,307,846,25,,Cold
OI10,B3491,ROME,MX2,Pizza ,1,569,878,0,,
OI11,B1827,milan,M37,Pasta,3,418,811,36,,
OI12,B3408,Florence,M28,Pasta,2,588,938,0,,Hot
OI13,B3220,milan,M3,Pizza ,3,634,830,116,Extra cheese,Cold
OI14,B232,Milan,M50,pizza,1,328,866,92,,
OI15,B3218,milan,M27,Pasta,3,202,877,18,,
OI16,B853,Florence,M11,Beverage,2,789,543,78,,Hot
OI17,B734,ROME,M26,Beverage,2,524,598,64,,Hot
OI18,B2738,milan,M17,Beverage,2,337,253,33,Extra cheese,Hot
OI19,B3002,MILAN ,M7,pizza,2,474,435,29,,
OI20,B2354,Florence,M49,Pizza ,1,469,614,0,Extra cheese,
OI21,B3395,Rome,M10,Pizza ,3,276,926,0,Extra cheese,
OI22,B1696,MILAN ,M34,Pasta,3,655,320,0,Extra cheese,Hot
OI23,B1432,Florence,M6,Pasta,1,396,383,39,,Hot
OI24,B1954,ROME,M23,Pasta,2,484,964,0,Extra cheese,Cold
OI25,B3302,Florence,M26,Pizza ,3,585,219,10,,
OI26,B1108,MILAN ,M16,Pasta,1,201,579,30,,Cold
OI27,B1551,MILAN ,M45,Pizza ,2,629,1008,28,,
OI28,B571,Florence,M38,Pizza ,2,508,371,0,,
OI29,B1329,Milan,M40,PASTA,1,449,311,24,Extra cheese,Hot
OI30,B481,Florence,M20,Pizza ,3,223,1056,11,,Hot
OI31,B3481,milan,M30,Pasta,2,408,806,94,,Cold
OI32,B2906,Milan,M34,Pizza ,1,792,614,119,Extra cheese,Cold
