bill_id,customer_id,restaurant_location,order_date,order_time,day_name,month_name,quarter,service_time_bucket,order_type,payment_method,order_status,refund_reason,total_quantity_ordered,bill_subtotal_amount,tax_amount,total_bill_amount
B1,C143,MILAN ,25-07-2023,14:41,Tuesday,July,Q3,Dinner,online,UPI,Completed,,3,665,168,893
B2,C223,ROME,20-03-2022,15:22,Sunday,March,Q1,Dinner,Online,,Refunded,Late delivery,1,1088,167,739
B3,C91,Florence,06-06-2023,15:00,Tuesday,June,Q2,Dinner,DINE IN,Cash,Completed,,1,1660,104,1626
B4,C256,Florence,05-10-2023,13:32,Thursday,October,Q4,Lunch,online,UPI,Completed,Late delivery,3,1435,52,742
B5,C777,Florence,11-05-2024,20:57,Saturday,May,Q2,Breakfast,DINE IN,UPI,Completed,Late delivery,1,922,93,780
B6,C1188,ROME,30-05-2024,19:20,Thursday,May,Q2,Lunch,online,,Refunded,,5,1269,63,1699
B7,C582,ROME,23-06-2022,19:40,Thursday,June,Q2,Dinner,Online,Card,Completed,Late delivery,3,760,70,651
B8,C95,milan,20-02-2022,16:39,Sunday,February,Q1,Breakfast,online,,Refunded,Late delivery,2,1771,198,1136
B9,C819,milan,09-10-2024,11:41,Wednesday,October,Q4,Dinner,Dine-In,Card,Completed,,2,1946,198,1410
B10,C103,ROME,09-08-2024,12:58,Friday,August,Q3,Breakfast,online,Cash,Completed,Late delivery,5,1444,172,999
B11,C1034,Rome,25-06-2024,22:58,Tuesday,June,Q2,Dinner,online,Cash,Refunded,,4,830,83,2070
B12,C1068,Rome,22-07-2023,19:15,Saturday,July,Q3,Lunch,online,Card,Refunded,,2,856,105,1004
B13,C284,milan,15-06-2022,12:24,Wednesday,June,Q2,Dinner,dine-in,Cash,Completed,,4,977,158,1304
B14,C128,milan,01-05-2024,22:26,Wednesday,May,Q2,Lunch,DINE IN,Card,Refunded,,4,312,110,961
B15,C859,ROME,09-03-2024,20:47,Saturday,March,Q1,Dinner,DINE IN,Cash,Completed,,3,1192,144,409
B16,C689,Florence,07-03-2024,19:51,Thursday,March,Q1,Lunch,dine-in,,Completed,Late delivery,5,355,120,1562
B17,C172,Florence,25-02-2022,15:08,Friday,February,Q1,Lunch,dine-in,Card,Completed,,3,733,136,1019
B18,C777,MILAN ,23-11-2023,21:53,Thursday,November,Q4,Lunch,Online,Card,Completed,,6,1404,33,2299
B19,C460,Florence,18-12-2023,10:49,Monday,December,Q4,Dinner,Dine-In,Card,Completed,,1,1572,59,838
B20,C970,Florence,16-09-2022,10:36,Friday,September,Q3,Breakfast,online,UPI,Completed,,5,1543,49,1942
B21,C638,Milan,02-12-2022,18:01,Friday,December,Q4,Lunch,DINE IN,,Completed,Late delivery,2,455,171,1764
B22,C209,Florence,13-05-2023,21:19,Saturday,May,Q2,Dinner,DINE IN,Card,Refunded,,3,1391,129,1704
B23,C142,ROME,29-01-2024,19:21,Monday,January,Q1,Breakfast,online,,Completed,,3,1601,137,1798
B24,C892,milan,10-11-2022,20:33,Thursday,November,Q4,Dinner,Online,,Completed,,6,1513,88,1010
B25,C178,MILAN ,18-05-2023,16:15,Thursday,May,Q2,Lunch,DINE IN,,Completed,,4,965,66,1348
B26,C727,MILAN ,11-03-2023,14:17,Saturday,March,Q1,Dinner,Online,Card,Refunded,,1,794,124,1350
